robot_name,reference,type,year,cost_dollars,total_length_inm,leg_length_inm,min_mass_inkg,max_mass_inkg,average_mass_inkg,normal_speed_inmps,walking_speed_inmps,running_speed_inmps,DOF,payload_inkg,actuator_mass_inkg,accuator_count,highest_stall_torqueorforce_on_actuators_inNm,actuator_name,actuation_type,reported_COT,battery_life_hours,battery_wt_inkg,
Cheetah 3,[1] https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593885,quadruped,2009,,0.6,0.68,,45,45,6,,,12,,,,,,motors,0.45,2,,
Mini Cheetah,[1] https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8793865,quadruped,2018,,0.38,0.4,,9,9,2.45,,,12,9,,,,,motors,,1,,
Spot,[1] https://bostondynamics.com/wp-content/uploads/2020/10/spot-specifications.pdf,quadruped,2016,,1.1,0.509,32.7,37.9,35.3,1.6,,,12,14,,,,,motors,,1.5,5.2,
Spirit,[1] https://uspto.report/ts/cd/pdfs?f=/SOU/2020/06/23/20200623125618914893-88276426-004_003/SPN1-3898152106-20200623124743387022_._GR_Spirit_40-P_Quad_UGV-_Full_Spec_rev1.0.pdf,quadruped,2020,,0.75,0.415,11.2,12.5,11.85,2,,,12,3,,,,,motors,,2,,
Vision,[1] https://www.ghostrobotics.io/vision-60 [2] https://www.stonexperu.com/pdf/GR%20Vision%2060-P%20Quad%20UGV-%20Full%20Spec%20rev4.0_STN.pdf,quadruped,2022,,0.85,0.38,32,39,35.5,2,,,12,14,,,,,motors,,3,850 WH Lithium-Ion (~7 kg),
Unitree Go2 (excluded from power laws),[1] https://www.unitree.com/go2,quadruped,,,0.7,,,15,15,2.5,,,12,7,,12,,,motors,,2-Jan,,
Unitree B2 (excluded from power laws),[1] https://www.unitree.com/b2,quadruped,,,1.098,,,60,60,6,,,12,120 (standing) 40 (walking),,,,,motors,,6-Apr,,
Minitaur,[1] https://www.i-programmer.info/news/169-robotics/10121-ghost-minitaur-the-springy-robot.html,quadruped,,,0.4,0.2,6,,6,2,,,8,3,,,,,motors,,,,
Petoi Bittle,[1] https://www.petoi.com/pages/bittle-robot-dog-specifications,quadruped,2025,,0.2,0.11,0.265,0.29,0.2775,,,,9,,,9,,,motors,,1,7.4V 1000 mAh,
ANYmal,[1] https://www.anybotics.com/anymal-technical-specifications.pdf,quadruped,,,0.93,0.593,50,55.7,52.85,0.75,,,12,5.7,,,,,motors,,1.5-2,5.5,
Solo,[1] https://arxiv.org/pdf/1910.00093,quadruped,,,0.42,0.32,2.2,,2.2,,,,8,,,8,,,motors,,,,
Loris,[1] https://www.ri.cmu.edu/app/uploads/2024/04/LORIS__A_Lightweight_Free_Climbing_Robot_for_Extreme_Terrain_Exploration.pdf,quadruped,,,0.315,0.233,3.2,,3.2,0.00333,,,12,,,,,,motors,,,,
Aibo,[1] https://us.aibo.com/feature/spec.html [2] https://arxiv.org/pdf/2502.10983,quadruped,2006,,0.293,0.18,2.2,,2.2,0.067,0.066,,22,,,,,,motors,,2,,
Llama,[1] https://www.jpl.nasa.gov/robotics-at-jpl/llama/ [2] https://ieeexplore.ieee.org/document/9341492,quadruped,2018,,1,0.45,,,67,1.2,,,12,25,,,,"ThinGap, LSI-160",motors,1.42,,,
RoboSimian (excluded from power laws),[1] https://www.jpl.nasa.gov/robotics-at-jpl/robosimian/ [2] https://onlinelibrary.wiley.com/doi/full/10.1002/rob.21676,quadruped,,,,0.72,,,134,,,,,20,,28,,,motors,,,15.5,
HAMR-F,[1] https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=8258869&ref=,quadruped,2018,,0.045,0.02,0.0028,,0.0028,0.172,,,8,,0.000109,8,,,piezo,83.9,0.133,0.00033,
C.Y. Brown Quadruped (excluded from power laws),[1] https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6631386,quadruped,,,,,,,,,,,,,,4,,,motors,,,,
